IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
049783,Fort Loramie Local,Shelby," $6,569,589 "," $3,188,989 ",48.54%," $7,194,514 "," $3,193,538 ",44.39%," $7,053,738 "," $3,847,643 ",54.55%,"$7,293,543","$4,747,087",65.1%,"$7,990,190","$5,878,198",73.6%,57.2%,2
049791,Hardin-Houston Local,Shelby," $7,342,885 "," $1,891,962 ",25.77%," $7,430,282 "," $2,062,488 ",27.76%," $7,787,718 "," $2,414,063 ",31.00%,"$8,008,071","$3,104,665",38.8%,"$8,288,296","$4,394,087",53.0%,35.3%,1
049809,Jackson Center Local,Shelby, - , - ,-, - , - ,-, - , - ,-,-,-,-,"$5,036,251","$2,301,493",45.7%,45.7%,-
049817,Russia Local,Shelby," $3,768,579 "," $1,389,150 ",36.86%," $3,716,782 "," $1,658,031 ",44.61%," $3,812,009 "," $1,804,910 ",47.35%,"$3,842,158","$1,948,198",50.7%,"$3,916,967","$2,492,693",63.6%,48.6%,2
049833,Canton Local,Stark," $21,721,924 "," $2,407,426 ",11.08%," $20,761,263 "," $2,928,303 ",14.10%," $21,508,556 "," $3,664,024 ",17.04%,"$21,659,261","$5,099,751",23.5%,"$21,325,157","$8,675,798",40.7%,21.3%,4
049841,Fairless Local,Stark," $15,129,689 "," $3,991,935 ",26.38%," $15,515,756 "," $2,922,989 ",18.84%," $15,049,273 "," $2,504,940 ",16.64%,"$14,547,898","$3,035,599",20.9%,"$14,236,713","$5,041,932",35.4%,23.6%,1
049858,Jackson Local,Stark," $49,946,815 "," $16,945,272 ",33.93%," $45,954,931 "," $21,003,624 ",45.70%," $47,462,020 "," $25,175,922 ",53.04%,"$49,156,403","$29,306,022",59.6%,"$48,957,285","$34,317,269",70.1%,52.5%,5
049866,Lake Local,Stark," $30,803,590 "," $4,801,987 ",15.59%," $28,871,643 "," $4,591,411 ",15.90%," $28,555,446 "," $5,881,257 ",20.60%,"$29,855,767","$7,448,155",24.9%,"$30,917,154","$9,491,122",30.7%,21.5%,3
049874,Louisville City,Stark," $25,317,330 "," $2,552,670 ",10.08%," $24,076,160 "," $1,354,234 ",5.62%," $23,474,771 "," $2,310,532 ",9.84%,"$24,376,908","$3,531,768",14.5%,"$24,935,630","$4,344,641",17.4%,11.5%,3
049882,Marlington Local,Stark," $22,405,526 "," $8,150,679 ",36.38%," $21,894,852 "," $7,516,681 ",34.33%," $20,811,430 "," $8,610,717 ",41.37%,"$22,115,306","$8,325,410",37.6%,"$21,146,306","$9,674,614",45.8%,39.1%,3
049890,Minerva Local,Stark," $16,549,400 "," $666,206 ",4.03%," $15,421,660 "," $1,294,345 ",8.39%," $15,629,292 "," $2,608,872 ",16.69%,"$15,378,410","$4,649,025",30.2%,"$16,354,662","$7,204,218",44.0%,20.7%,1
049908,Northwest Local,Stark," $17,368,352 "," $1,970,278 ",11.34%," $17,108,405 "," $3,213,571 ",18.78%," $18,045,584 "," $4,157,267 ",23.04%,"$18,123,842","$5,239,538",28.9%,"$17,921,602","$6,822,435",38.1%,24.0%,3
049916,Osnaburg Local,Stark," $8,010,460 "," $2,007,637 ",25.06%," $7,406,222 "," $1,586,814 ",21.43%," $7,355,278 "," $1,491,525 ",20.28%,"$7,405,242","$1,753,425",23.7%,"$7,662,436","$2,664,457",34.8%,25.0%,1
049924,Perry Local,Stark," $41,668,018 "," $22,123,088 ",53.09%," $40,321,789 "," $21,304,650 ",52.84%," $41,754,160 "," $20,554,512 ",49.23%,"$43,840,077","$19,913,225",45.4%,"$43,686,718","$20,717,979",47.4%,49.6%,4
049932,Plain Local,Stark," $50,595,926 "," $10,760,223 ",21.27%," $48,234,008 "," $11,878,875 ",24.63%," $46,218,680 "," $16,607,088 ",35.93%,"$48,953,377","$19,862,824",40.6%,"$51,148,892","$23,722,171",46.4%,33.8%,5
049940,Sandy Valley Local,Stark," $12,577,567 "," $3,201,033 ",25.45%," $12,899,341 "," $3,088,041 ",23.94%," $12,949,720 "," $3,592,441 ",27.74%,"$13,405,739","$4,489,178",33.5%,"$14,087,930","$6,664,518",47.3%,31.6%,1
049957,Tuslaw Local,Stark," $11,431,602 "," $2,502,957 ",21.90%," $11,567,522 "," $3,096,874 ",26.77%," $11,823,556 "," $3,777,400 ",31.95%,"$12,193,146","$4,160,913",34.1%,"$12,344,617","$4,703,405",38.1%,30.6%,2
049973,Woodridge Local,Summit," $21,873,357 "," $6,074,115 ",27.77%," $22,291,753 "," $5,533,215 ",24.82%," $23,681,344 "," $6,050,982 ",25.55%,"$23,974,004","$7,045,638",29.4%,"$24,798,525","$6,918,162",27.9%,27.1%,5
049981,Copley-Fairlawn City,Summit," $32,733,401 "," $9,937,194 ",30.36%," $31,284,203 "," $7,240,573 ",23.14%," $31,169,287 "," $9,777,241 ",31.37%,"$31,537,215","$14,950,518",47.4%,"$32,379,547","$14,950,518",46.2%,35.7%,6
049999,Coventry Local,Summit," $23,248,823 "," $300,330 ",1.29%," $20,710,124 "," $(541,188)",-2.61%," $21,071,106 "," $(750,094)",-3.56%,"$23,959,088","-$1,581,701",-6.6%,"$24,304,623","$1,827,382",7.5%,-0.8%,3
050005,Manchester Local,Summit," $13,107,510 "," $486,069 ",3.71%," $13,185,573 "," $613,630 ",4.65%," $13,083,644 "," $1,466,339 ",11.21%,"$13,754,438","$2,920,673",21.2%,"$14,278,010","$4,324,241",30.3%,14.2%,3
050013,Green Local,Summit," $35,002,091 "," $1,896,887 ",5.42%," $36,076,833 "," $1,510,642 ",4.19%," $34,297,815 "," $3,079,374 ",8.98%,"$35,518,847","$4,684,234",13.2%,"$36,272,677","$7,633,861",21.0%,10.6%,5
050021,Hudson City,Summit," $57,064,956 "," $11,503,193 ",20.16%," $56,543,581 "," $15,124,906 ",26.75%," $55,617,994 "," $19,167,020 ",34.46%,"$56,306,335","$24,062,618",42.7%,"$56,753,163","$28,727,971",50.6%,34.9%,6
050039,Mogadore Local,Summit," $9,238,897 "," $2,779,747 ",30.09%," $9,117,711 "," $2,171,134 ",23.81%," $9,287,713 "," $1,738,242 ",18.72%,"$9,111,799","$1,947,697",21.4%,"$9,171,037","$2,854,894",31.1%,25.0%,3
050047,Nordonia Hills City,Summit," $37,927,756 "," $6,731,066 ",17.75%," $36,915,355 "," $11,147,823 ",30.20%," $37,749,976 "," $15,384,690 ",40.75%,"$39,172,284","$18,894,883",48.2%,"$41,089,184","$20,383,032",49.6%,37.3%,5
050054,Revere Local,Summit," $30,905,336 "," $15,403,005 ",49.84%," $36,340,079 "," $16,482,595 ",45.36%," $31,992,284 "," $18,547,472 ",57.97%,"$33,044,865","$20,360,624",61.6%,"$34,405,116","$20,355,686",59.2%,54.8%,6
050062,Springfield Local,Summit," $23,290,951 "," $6,919,551 ",29.71%," $24,648,297 "," $7,729,156 ",31.36%," $26,794,515 "," $7,657,859 ",28.58%,"$27,320,037","$7,158,044",26.2%,"$26,847,472","$8,056,358",30.0%,29.2%,4
050070,Twinsburg City,Summit," $40,340,265 "," $25,012,173 ",62.00%," $38,527,902 "," $26,165,435 ",67.91%," $40,433,902 "," $28,092,742 ",69.48%,"$40,883,714","$30,995,083",75.8%,"$42,696,694","$31,184,829",73.0%,69.6%,5
050096,Bloomfield-Mespo Local,Trumbull," $3,008,361 "," $505,461 ",16.80%," $2,968,704 "," $583,981 ",19.67%," $2,977,919 "," $704,453 ",23.66%,"$2,978,766","$922,642",31.0%,"$2,802,099","$1,451,642",51.8%,28.6%,1
050112,Bristol Local,Trumbull," $6,842,393 "," $2,143,880 ",31.33%," $6,846,229 "," $1,849,126 ",27.01%," $6,558,113 "," $1,986,733 ",30.29%,"$6,315,773","$2,663,842",42.2%,"$6,675,658","$3,226,008",48.3%,35.8%,2
050120,Brookfield Local,Trumbull," $10,195,342 "," $10,322 ",0.10%," $10,689,282 "," $2,941 ",0.03%," $11,052,372 "," $(66,692)",-0.60%,"$11,190,400","-$283,889",-2.5%,"$10,438,808","$120,831",1.2%,-0.4%,4
050138,Champion Local,Trumbull," $12,973,926 "," $920,923 ",7.10%," $12,791,427 "," $876,216 ",6.85%," $13,111,628 "," $1,508,216 ",11.50%,"$13,350,341","$2,543,602",19.1%,"$13,482,755","$3,794,505",28.1%,14.5%,3
050153,Mathews Local,Trumbull," $8,648,628 "," $902,163 ",10.43%," $8,802,854 "," $747,622 ",8.49%," $8,046,220 "," $1,541,514 ",19.16%,"$8,991,479","$1,548,532",17.2%,"$8,257,747","$2,609,053",31.6%,17.4%,3
050161,Howland Local,Trumbull," $28,137,673 "," $148,104 ",0.53%," $27,552,872 "," $152,976 ",0.56%," $27,492,493 "," $1,670,645 ",6.08%,"$27,907,976","$2,601,934",9.3%,"$28,052,141","$4,502,760",16.1%,6.5%,5
050179,Joseph Badger Local,Trumbull," $7,974,075 "," $2,358,159 ",29.57%," $7,492,321 "," $2,574,592 ",34.36%," $7,673,389 "," $2,593,263 ",33.80%,"$8,253,326","$2,297,979",27.8%,"$7,841,626","$3,157,396",40.3%,33.2%,2
050187,Lakeview Local,Trumbull," $15,890,307 "," $1,865,348 ",11.74%," $15,683,032 "," $1,994,117 ",12.72%," $15,594,432 "," $2,374,168 ",15.22%,"$15,240,070","$3,354,710",22.0%,"$15,325,621","$4,149,077",27.1%,17.8%,3
050195,Liberty Local,Trumbull," $15,781,000 "," $802,000 ",5.08%," $14,419,768 "," $1,443,998 ",10.01%," $14,156,541 "," $2,188,075 ",15.46%,"$14,029,422","$3,128,615",22.3%,"$14,479,030","$3,886,954",26.8%,15.9%,4
050203,Lordstown Local,Trumbull," $6,651,910 "," $771,145 ",11.59%," $7,393,510 "," $608,925 ",8.24%," $7,316,275 "," $467,987 ",6.40%,"$7,335,200","$202,051",2.8%,"$7,508,997","$765,711",10.2%,7.8%,1
050211,Maplewood Local,Trumbull," $8,756,035 "," $2,980,225 ",34.04%," $8,436,230 "," $3,176,258 ",37.65%," $8,605,057 "," $3,146,812 ",36.57%,"$8,411,331","$3,347,909",39.8%,"$8,655,230","$3,323,861",38.4%,37.3%,2
050229,McDonald Local,Trumbull," $6,503,698 "," $683,432 ",10.51%," $5,780,071 "," $1,619,738 ",28.02%," $6,022,350 "," $2,641,643 ",43.86%,"$6,348,102","$3,723,526",58.7%,"$6,427,164","$5,705,651",88.8%,46.0%,3
050237,Southington Local,Trumbull," $5,105,741 "," $1,365,694 ",26.75%," $4,907,116 "," $1,529,773 ",31.17%," $5,133,367 "," $1,373,889 ",26.76%,"$5,225,817","$1,147,842",22.0%,"$5,118,811","$1,886,028",36.8%,28.7%,2
050245,LaBrae Local,Trumbull," $12,627,127 "," $2,920,156 ",23.13%," $12,554,052 "," $2,155,986 ",17.17%," $12,663,617 "," $2,074,456 ",16.38%,"$12,503,989","$2,529,181",20.2%,"$12,571,588","$2,955,383",23.5%,20.1%,1
050252,Weathersfield Local,Trumbull," $8,499,013 "," $1,757,331 ",20.68%," $8,582,000 "," $1,235,059 ",14.39%," $8,572,334 "," $1,244,853 ",14.52%,"$8,537,747","$1,519,490",17.8%,"$8,864,459","$2,505,199",28.3%,19.1%,3
050278,Garaway Local,Tuscarawas," $10,670,050 "," $2,914,588 ",27.32%," $10,569,082 "," $2,439,305 ",23.08%," $10,696,297 "," $2,279,879 ",21.31%,"$10,587,392","$2,752,411",26.0%,"$10,720,469","$3,628,398",33.8%,26.3%,1
050286,Indian Valley Local Schools,Tuscarawas," $15,103,250 "," $3,648,756 ",24.16%," $14,791,528 "," $3,572,573 ",24.15%," $15,228,765 "," $4,170,362 ",27.38%,"$15,416,922","$6,059,938",39.3%,"$16,409,736","$7,887,585",48.1%,32.6%,1
050294,Strasburg-Franklin Local,Tuscarawas," $5,218,680 "," $2,604,667 ",49.91%," $5,632,072 "," $2,625,086 ",46.61%," $6,001,210 "," $2,473,518 ",41.22%,"$6,029,883","$2,219,370",36.8%,"$5,820,894","$2,476,200",42.5%,43.4%,1
050302,Tuscarawas Valley Local,Tuscarawas," $12,085,844 "," $2,298,581 ",19.02%," $12,668,756 "," $1,642,688 ",12.97%," $12,491,411 "," $1,619,274 ",12.96%,"$12,835,649","$2,829,655",22.0%,"$14,483,066","$3,302,426",22.8%,18.0%,3
050328,Fairbanks Local,Union," $9,285,966 "," $2,779,982 ",29.94%," $9,833,469 "," $3,288,741 ",33.44%," $9,702,911 "," $4,127,399 ",42.54%,"$9,906,474","$5,277,970",53.3%,"$11,309,440","$5,906,299",52.2%,42.3%,3
050336,North Union Local,Union," $15,147,721 "," $10,245,771 ",67.64%," $14,724,771 "," $9,672,294 ",65.69%," $14,052,761 "," $10,725,828 ",76.33%,"$15,630,579","$10,688,456",68.4%,"$15,787,360","$10,758,561",68.1%,69.2%,2
050351,Crestview Local,Van Wert," $8,653,249 "," $2,180,806 ",25.20%," $8,667,808 "," $2,499,377 ",28.84%," $9,244,557 "," $3,686,740 ",39.88%,"$9,429,156","$5,256,442",55.7%,"$9,396,022","$7,643,167",81.3%,46.2%,2
050369,Lincolnview Local,Van Wert," $7,931,564 "," $10,917,198 ",137.64%," $8,047,225 "," $11,576,048 ",143.85%," $8,311,285 "," $12,338,794 ",148.46%,"$9,246,651","$12,933,573",139.9%,"$8,561,703","$14,780,053",172.6%,148.5%,2
050393,Vinton County Local,Vinton," $22,068,602 "," $14,736,151 ",66.77%," $21,660,863 "," $14,898,986 ",68.78%," $22,452,632 "," $15,881,187 ",70.73%,"$22,747,276","$17,198,732",75.6%,"$23,258,995","$18,176,695",78.1%,72.0%,1
050419,Carlisle Local,Warren," $15,576,924 "," $490,141 ",3.15%," $14,881,668 "," $518,630 ",3.49%," $15,058,521 "," $1,056,674 ",7.02%,"$15,363,184","$1,905,544",12.4%,"$15,600,049","$3,611,555",23.2%,9.8%,4
050427,Springboro Community City,Warren," $41,564,822 "," $10,127,701 ",24.37%," $42,357,138 "," $11,070,585 ",26.14%," $44,613,410 "," $10,782,864 ",24.17%,"$47,835,193","$8,368,438",17.5%,"$47,886,807","$8,145,978",17.0%,21.8%,6
050435,Kings Local,Warren," $38,373,538 "," $9,329,466 ",24.31%," $38,767,216 "," $9,770,796 ",25.20%," $39,906,815 "," $10,862,724 ",27.22%,"$43,533,423","$11,189,852",25.7%,"$43,328,919","$9,579,069",22.1%,24.9%,5
050443,Little Miami Local,Warren," $31,912,000 "," $8,758,508 ",27.45%," $35,978,260 "," $12,174,770 ",33.84%," $36,495,447 "," $16,703,903 ",45.77%,"$35,194,952","$23,351,960",66.4%,"$37,975,302","$28,792,026",75.8%,49.8%,5
050450,Mason City School District,Warren," $102,908,707 "," $40,299,532 ",39.16%," $99,971,904 "," $33,511,811 ",33.52%," $98,124,379 "," $33,784,848 ",34.43%,"$98,782,115","$36,459,943",36.9%,"$100,656,057","$38,866,716",38.6%,36.5%,6
050468,Wayne Local,Warren," $11,852,847 "," $3,372,194 ",28.45%," $12,181,515 "," $4,863,484 ",39.93%," $12,242,514 "," $6,614,607 ",54.03%,"$12,508,630","$8,483,552",67.8%,"$12,702,427","$10,469,437",82.4%,54.5%,3
050484,Fort Frye Local,Washington," $9,705,453 "," $1,108,977 ",11.43%," $8,955,036 "," $1,813,047 ",20.25%," $9,006,030 "," $3,402,195 ",37.78%,"$9,661,252","$4,101,047",42.4%,"$9,710,737","$6,523,460",67.2%,35.8%,1
050492,Frontier Local,Washington," $7,383,620 "," $1,601,994 ",21.70%," $7,487,280 "," $990,481 ",13.23%," $7,294,923 "," $901,636 ",12.36%,"$7,058,616","$1,223,130",17.3%,"$6,981,848","$1,987,292",28.5%,18.6%,2
050500,Warren Local,Washington," $19,579,886 "," $5,603,399 ",28.62%," $20,039,362 "," $4,746,693 ",23.69%," $20,032,710 "," $5,325,222 ",26.58%,"$20,563,609","$6,267,181",30.5%,"$21,240,767","$6,746,014",31.8%,28.2%,1
050518,Wolf Creek Local,Washington," $6,748,766 "," $7,991,987 ",118.42%," $7,039,769 "," $7,797,205 ",110.76%," $6,781,615 "," $8,196,703 ",120.87%,"$7,211,074","$8,539,732",118.4%,"$7,131,235","$8,732,930",122.5%,118.2%,1
050534,Chippewa Local,Wayne," $10,511,262 "," $6,422,814 ",61.10%," $11,254,613 "," $6,293,961 ",55.92%," $11,318,844 "," $6,414,719 ",56.67%,"$12,024,795","$7,006,554",58.3%,"$14,590,933","$5,113,379",35.0%,53.4%,3
050542,Dalton Local,Wayne," $7,524,004 "," $901,256 ",11.98%," $7,548,142 "," $1,202,961 ",15.94%," $7,950,521 "," $1,500,322 ",18.87%,"$8,474,075","$1,412,013",16.7%,"$8,575,710","$1,473,870",17.2%,16.1%,3
050559,Green Local,Wayne," $10,440,211 "," $2,056,759 ",19.70%," $10,305,269 "," $2,159,439 ",20.95%," $10,342,750 "," $2,235,737 ",21.62%,"$10,296,311","$2,682,249",26.1%,"$10,600,772","$2,742,833",25.9%,22.8%,3
050567,Norwayne Local,Wayne," $11,293,555 "," $3,428,804 ",30.36%," $11,153,378 "," $2,898,347 ",25.99%," $10,887,196 "," $2,912,845 ",26.75%,"$11,137,101","$3,469,969",31.2%,"$11,241,124","$4,771,112",42.4%,31.3%,3
050575,Northwestern Local,Wayne," $11,860,767 "," $2,792,492 ",23.54%," $12,688,548 "," $2,543,094 ",20.04%," $12,915,440 "," $2,465,306 ",19.09%,"$13,243,902","$2,639,553",19.9%,"$13,874,348","$2,600,317",18.7%,20.3%,1
050583,Southeast Local,Wayne," $15,225,268 "," $1,227,546 ",8.06%," $14,135,358 "," $1,946,816 ",13.77%," $13,780,358 "," $3,600,820 ",26.13%,"$14,090,979","$5,413,989",38.4%,"$14,660,182","$7,174,333",48.9%,27.1%,1
050591,Triway Local,Wayne," $16,498,344 "," $522,958 ",3.17%," $15,540,714 "," $96,589 ",0.62%," $15,691,545 "," $660,637 ",4.21%,"$16,042,812","$1,988,941",12.4%,"$17,271,097","$2,230,383",12.9%,6.7%,3
050617,Edgerton Local,Williams," $6,202,416 "," $656,582 ",10.59%," $5,572,398 "," $730,838 ",13.12%," $5,574,236 "," $836,469 ",15.01%,"$5,517,633","$1,398,563",25.3%,"$5,855,893","$2,614,102",44.6%,21.7%,1
050625,Edon-Northwest Local,Williams," $5,490,636 "," $2,388,159 ",43.50%," $5,274,070 "," $2,084,623 ",39.53%," $5,550,345 "," $1,673,203 ",30.15%,"$5,781,725","$971,525",16.8%,"$5,765,901","$1,153,717",20.0%,30.0%,1
050633,Millcreek-West Unity Local,Williams," $5,787,448 "," $1,539,336 ",26.60%," $5,856,714 "," $1,626,271 ",27.77%," $5,964,719 "," $1,865,533 ",31.28%,"$5,938,227","$2,251,539",37.9%,"$5,935,061","$3,605,511",60.7%,36.9%,1
050641,North Central Local,Williams," $6,857,226 "," $1,534,227 ",22.37%," $6,523,469 "," $1,548,469 ",23.74%," $6,455,553 "," $1,783,638 ",27.63%,"$6,757,785","$1,718,114",25.4%,"$7,575,049","$1,772,859",23.4%,24.5%,1
050658,Stryker Local,Williams," $4,083,401 "," $1,239,336 ",30.35%," $4,065,160 "," $1,678,972 ",41.30%," $4,206,864 "," $2,267,525 ",53.90%,"$4,676,530","$2,597,644",55.5%,"$5,230,540","$3,193,445",61.1%,48.4%,1
050674,Eastwood Local,Wood," $13,430,459 "," $9,199,493 ",68.50%," $14,044,185 "," $9,302,928 ",66.24%," $15,274,796 "," $9,049,320 ",59.24%,"$17,253,871","$10,194,335",59.1%,"$17,142,517","$9,713,342",56.7%,61.9%,3
050682,Elmwood Local,Wood," $11,196,040 "," $6,832,196 ",61.02%," $11,625,697 "," $6,666,224 ",57.34%," $12,110,518 "," $6,429,070 ",53.09%,"$12,278,504","$6,275,990",51.1%,"$13,169,709","$5,917,562",44.9%,53.5%,2
050690,Lake Local,Wood," $13,961,473 "," $786,426 ",5.63%," $13,820,051 "," $597,186 ",4.32%," $14,696,630 "," $812,383 ",5.53%,"$14,271,376","$2,134,079",15.0%,"$15,230,088","$2,789,254",18.3%,9.7%,4
050708,North Baltimore Local,Wood," $7,329,143 "," $3,189,025 ",43.51%," $7,315,163 "," $3,589,381 ",49.07%," $7,686,391 "," $4,047,319 ",52.66%,"$8,008,062","$4,515,733",56.4%,"$8,338,469","$4,661,099",55.9%,51.5%,1
050716,Northwood Local Schools,Wood," $9,150,398 "," $3,478,002 ",38.01%," $9,552,364 "," $4,003,978 ",41.92%," $9,898,617 "," $4,402,413 ",44.48%,"$10,841,779","$4,439,262",40.9%,"$10,883,842","$4,384,153",40.3%,41.1%,4
050724,Otsego Local,Wood," $11,916,870 "," $2,869,369 ",24.08%," $12,479,223 "," $3,353,382 ",26.87%," $13,384,085 "," $3,346,538 ",25.00%,"$13,702,598","$3,686,576",26.9%,"$13,811,837","$4,556,685",33.0%,27.2%,3
050740,Mohawk Local,Wyandot," $8,757,572 "," $915,918 ",10.46%," $8,765,862 "," $1,176,286 ",13.42%," $8,793,111 "," $1,973,108 ",22.44%,"$10,027,264","$1,847,767",18.4%,"$10,189,081","$2,625,048",25.8%,18.1%,2
061903,Adams County/Ohio Valley Local,Adams," $34,405,237 "," $6,900,075 ",20.06%," $34,993,300 "," $9,555,357 ",27.31%," $36,341,426 "," $12,727,757 ",35.02%,"$38,237,495","$17,700,615",46.3%,"$41,651,025","$20,090,642",48.2%,35.4%,1
065680,Gallia County Local,Gallia," $21,552,911 "," $7,309,558 ",33.91%," $23,008,360 "," $7,845,322 ",34.10%," $23,414,843 "," $7,417,101 ",31.68%,"$25,499,929","$7,806,818",30.6%,"$26,920,633","$6,445,374",23.9%,30.8%,1
069682,East Guernsey Local,Guernsey," $9,876,894 "," $3,360,241 ",34.02%," $10,041,419 "," $3,308,679 ",32.95%," $9,833,871 "," $3,628,291 ",36.90%,"$10,198,439","$4,232,824",41.5%,"$11,055,666","$4,876,370",44.1%,37.9%,2
091397,Tri-County North Local,Preble," $9,950,096 "," $1,763,139 ",17.72%," $9,163,304 "," $1,019,319 ",11.12%," $8,745,040 "," $1,065,568 ",12.18%,"$8,592,831","$1,746,216",20.3%,"$8,491,913","$3,567,582",42.0%,20.7%,1
139303,Monroe Local School District,Butler," $25,382,550 "," $630,361 ",2.48%," $20,168,819 "," $1,876,189 ",9.30%," $19,427,483 "," $5,944,836 ",30.60%,"$19,859,696","$10,916,990",55.0%,"$21,338,716","$14,333,141",67.2%,32.9%,5
